"date","team","goals","elo","rank","match_id","stage"
"1-Mar-2006","Croatia","3",1834,13,"2010-1","Friendly"
"1-Mar-2006","Argentina","2",1905,8,"2010-1","Friendly"
"1-Mar-2006","England","2",1964,1,"2010-2","Friendly"
"1-Mar-2006","Uruguay","1",1813,20,"2010-2","Friendly"
"1-Mar-2006","France","1",1940,3,"2010-3","Friendly"
"1-Mar-2006","Slovakia","2",1681,41,"2010-3","Friendly"
"1-Mar-2006","Iran","3",1797,23,"2010-4","Friendly"
"1-Mar-2006","Costa Rica","2",1732,35,"2010-4","Friendly"
"1-Mar-2006","Ireland","3",1824,15,"2010-5","Friendly"
"1-Mar-2006","Sweden","0",1859,11,"2010-5","Friendly"
"1-Mar-2006","Italy","4",1940,7,"2010-6","Friendly"
"1-Mar-2006","Germany","1",1871,10,"2010-6","Friendly"
"1-Mar-2006","Mexico","1",1830,18,"2010-7","Friendly"
"1-Mar-2006","Ghana","0",1565,67,"2010-7","Friendly"
"1-Mar-2006","Netherlands","1",1993,2,"2010-8","Friendly"
"1-Mar-2006","Ecuador","0",1717,40,"2010-8","Friendly"
"1-Mar-2006","Portugal","3",1909,9,"2010-9","Friendly"
"1-Mar-2006","Saudi Arabia","0",1595,57,"2010-9","Friendly"
"1-Mar-2006","Russia","0",1741,33,"2010-10","Friendly"
"1-Mar-2006","Brazil","1",2027,1,"2010-10","Friendly"
"1-Mar-2006","Scotland","1",1652,44,"2010-11","Friendly"
"1-Mar-2006","Switzerland","3",1779,22,"2010-11","Friendly"
"1-Mar-2006","South Korea","1",1745,32,"2010-12","Friendly"
"1-Mar-2006","Angola","0",1550,69,"2010-12","Friendly"
"1-Mar-2006","Spain","3",1957,4,"2010-13","Friendly"
"1-Mar-2006","Ivory Coast","2",1751,32,"2010-13","Friendly"
"1-Mar-2006","Tunisia","0",1684,42,"2010-14","Friendly"
"1-Mar-2006","Serbia and Montenegro","1",1791,24,"2010-14","Friendly"
"1-Mar-2006","Turkey","2",1845,16,"2010-15","Friendly"
"1-Mar-2006","Czechia","2",1964,4,"2010-15","Friendly"
"1-Mar-2006","United States","1",1855,13,"2010-16","Friendly"
"1-Mar-2006","Poland","0",1827,15,"2010-16","Friendly"
"1-Mar-2006","Wales","0",1593,60,"2010-17","Friendly"
"1-Mar-2006","Paraguay","0",1774,29,"2010-17","Friendly"
"15-Mar-2006","Saudi Arabia","2",1592,59,"2010-18","Friendly"
"15-Mar-2006","Iraq","2",1571,66,"2010-18","Friendly"
"22-Mar-2006","Germany","4",1882,11,"2010-19","Friendly"
"22-Mar-2006","United States","1",1841,13,"2010-19","Friendly"
"28-Mar-2006","Saudi Arabia","1",1584,60,"2010-20","Friendly"
"28-Mar-2006","Poland","2",1837,16,"2010-20","Friendly"
"29-Mar-2006","Mexico","2",1834,17,"2010-21","Friendly"
"29-Mar-2006","Paraguay","1",1760,29,"2010-21","Friendly"
"30-Mar-2006","Japan","1",1807,20,"2010-22","Friendly"
"30-Mar-2006","Ecuador","0",1709,40,"2010-22","Friendly"
"11-Apr-2006","United States","1",1839,14,"2010-23","Friendly"
"11-Apr-2006","Jamaica","1",1649,49,"2010-23","Friendly"
"29-Apr-2006","Angola","5",1553,63,"2010-24","COSAFA Cup"
"29-Apr-2006","Mauritius","1",1299,120,"2010-24","COSAFA Cup"
"30-Apr-2006","Lesotho","1",1131,166,"2010-25","COSAFA Cup"
"30-Apr-2006","Angola","3",1569,65,"2010-25","COSAFA Cup"
"2-May-2006","Poland","0",1805,16,"2010-26","Friendly"
"2-May-2006","Lithuania","1",1478,76,"2010-26","Friendly"
"5-May-2006","Mexico","1",1842,14,"2010-27","Friendly"
"5-May-2006","Venezuela","0",1597,56,"2010-27","Friendly"
"9-May-2006","Japan","1",1768,21,"2010-28","Friendly tournament"
"9-May-2006","Bulgaria","2",1725,31,"2010-28","Friendly tournament"
"10-May-2006","Trinidad and Tobago","1",1589,62,"2010-29","Friendly"
"10-May-2006","Peru","1",1662,46,"2010-29","Friendly"
"11-May-2006","Belgium","2",1701,42,"2010-30","Friendly"
"11-May-2006","Saudi Arabia","1",1576,62,"2010-30","Friendly"
"12-May-2006","Mexico","2",1846,13,"2010-31","Friendly"
"12-May-2006","Democratic Republic of Congo","1",1487,88,"2010-31","Friendly"
"13-May-2006","Japan","0",1776,25,"2010-32","Friendly tournament"
"13-May-2006","Scotland","0",1701,41,"2010-32","Friendly tournament"
"14-May-2006","Poland","4",1824,19,"2010-33","Friendly"
"14-May-2006","Faroe Islands","0",1211,154,"2010-33","Friendly"
"14-May-2006","Saudi Arabia","1",1583,60,"2010-34","Friendly"
"14-May-2006","Togo","0",1479,85,"2010-34","Friendly"
"23-May-2006","Austria","1",1619,51,"2010-35","Friendly"
"23-May-2006","Croatia","4",1847,12,"2010-35","Friendly"
"23-May-2006","South Korea","1",1738,34,"2010-36","Friendly"
"23-May-2006","Senegal","1",1663,47,"2010-36","Friendly"
"23-May-2006","United States","0",1812,16,"2010-37","Friendly"
"23-May-2006","Morocco","1",1648,46,"2010-37","Friendly"
"24-May-2006","Colombia","1",1759,31,"2010-38","Friendly"
"24-May-2006","Ecuador","1",1714,39,"2010-38","Friendly"
"24-May-2006","Norway","2",1734,36,"2010-39","Friendly"
"24-May-2006","Paraguay","2",1768,29,"2010-39","Friendly"
"25-May-2006","Australia","1",1786,22,"2010-40","Friendly"
"25-May-2006","Greece","0",1796,21,"2010-40","Friendly"
"25-May-2006","Sweden","0",1859,12,"2010-41","Friendly"
"25-May-2006","Finland","0",1628,49,"2010-41","Friendly"
"26-May-2006","Czechia","2",1965,2,"2010-42","Friendly"
"26-May-2006","Saudi Arabia","0",1585,62,"2010-42","Friendly"
"26-May-2006","Ghana","1",1569,66,"2010-43","Friendly"
"26-May-2006","Turkey","1",1825,16,"2010-43","Friendly"
"26-May-2006","South Korea","2",1743,33,"2010-44","Friendly"
"26-May-2006","Bosnia and Herzegovina","0",1621,52,"2010-44","Friendly"
"26-May-2006","United States","2",1829,16,"2010-45","Friendly"
"26-May-2006","Venezuela","0",1593,57,"2010-45","Friendly"
"27-May-2006","Denmark","1",1890,10,"2010-46","Friendly"
"27-May-2006","Paraguay","1",1770,29,"2010-46","Friendly"
"27-May-2006","France","1",1958,4,"2010-47","Friendly"
"27-May-2006","Mexico","0",1837,14,"2010-47","Friendly"
"27-May-2006","Germany","7",1894,11,"2010-48","Friendly"
"27-May-2006","Luxembourg","0",979,188,"2010-48","Friendly"
"27-May-2006","Netherlands","1",1995,2,"2010-49","Friendly"
"27-May-2006","Cameroon","0",1782,26,"2010-49","Friendly"
"27-May-2006","Portugal","4",1914,9,"2010-50","Friendly"
"27-May-2006","Cape Verde","1",1317,125,"2010-50","Friendly"
"27-May-2006","Serbia and Montenegro","1",1797,23,"2010-51","Friendly"
"27-May-2006","Uruguay","1",1837,16,"2010-51","Friendly"
"27-May-2006","Spain","0",1946,5,"2010-52","Friendly"
"27-May-2006","Russia","0",1746,31,"2010-52","Friendly"
"27-May-2006","Switzerland","1",1786,24,"2010-53","Friendly"
"27-May-2006","Ivory Coast","1",1754,32,"2010-53","Friendly"
"27-May-2006","Wales","2",1595,54,"2010-54","Friendly"
"27-May-2006","Trinidad and Tobago","1",1570,62,"2010-54","Friendly"
"28-May-2006","Croatia","2",1852,13,"2010-55","Friendly"
"28-May-2006","Iran","2",1803,20,"2010-55","Friendly"
"28-May-2006","Macedonia","2",1475,82,"2010-56","Friendly"
"28-May-2006","Ecuador","1",1683,39,"2010-56","Friendly"
"28-May-2006","Ukraine","4",1767,28,"2010-57","Friendly"
"28-May-2006","Costa Rica","0",1714,36,"2010-57","Friendly"
"28-May-2006","United States","1",1833,17,"2010-58","Friendly"
"28-May-2006","Latvia","0",1481,89,"2010-58","Friendly"
"29-May-2006","Ghana","4",1575,53,"2010-59","Friendly"
"29-May-2006","Jamaica","1",1612,49,"2010-59","Friendly"
"30-May-2006","Argentina","2",1918,8,"2010-60","Friendly"
"30-May-2006","Angola","0",1569,67,"2010-60","Friendly"
"30-May-2006","Chile","1",1707,41,"2010-61","Friendly"
"30-May-2006","Ivory Coast","1",1756,32,"2010-61","Friendly"
"30-May-2006","Czechia","1",1968,3,"2010-62","Friendly"
"30-May-2006","Costa Rica","0",1722,38,"2010-62","Friendly"
"30-May-2006","England","3",1968,3,"2010-63","Friendly"
"30-May-2006","Hungary","1",1605,56,"2010-63","Friendly"
"30-May-2006","Germany","2",1884,11,"2010-64","Friendly"
"30-May-2006","Japan","2",1783,25,"2010-64","Friendly"
"30-May-2006","Poland","1",1797,18,"2010-65","Friendly"
"30-May-2006","Colombia","2",1762,29,"2010-65","Friendly"
"30-May-2006","Tunisia","3",1694,42,"2010-66","Friendly tournament"
"30-May-2006","Belarus","0",1561,64,"2010-66","Friendly tournament"
"31-May-2006","France","2",1963,1,"2010-67","Friendly"
"31-May-2006","Denmark","0",1880,10,"2010-67","Friendly"
"31-May-2006","Iran","5",1807,19,"2010-68","Friendly"
"31-May-2006","Bosnia and Herzegovina","2",1616,53,"2010-68","Friendly"
"31-May-2006","Paraguay","1",1776,28,"2010-69","Friendly"
"31-May-2006","Georgia","0",1494,81,"2010-69","Friendly"
"31-May-2006","Slovenia","3",1601,52,"2010-70","Friendly"
"31-May-2006","Trinidad and Tobago","1",1560,64,"2010-70","Friendly"
"31-May-2006","Switzerland","1",1790,25,"2010-71","Friendly"
"31-May-2006","Italy","1",1947,7,"2010-71","Friendly"
"31-May-2006","Turkey","1",1823,17,"2010-72","Friendly"
"31-May-2006","Saudi Arabia","0",1580,63,"2010-72","Friendly"
"1-Jun-2006","Netherlands","2",1998,2,"2010-73","Friendly"
"1-Jun-2006","Mexico","1",1834,15,"2010-73","Friendly"
"1-Jun-2006","Norway","0",1732,36,"2010-74","Friendly"
"1-Jun-2006","South Korea","0",1750,33,"2010-74","Friendly"
"2-Jun-2006","Germany","3",1889,10,"2010-75","Friendly"
"2-Jun-2006","Colombia","0",1760,31,"2010-75","Friendly"
"2-Jun-2006","Italy","0",1939,7,"2010-76","Friendly"
"2-Jun-2006","Ukraine","0",1779,27,"2010-76","Friendly"
"2-Jun-2006","Liechtenstein","0",1116,170,"2010-77","Friendly"
"2-Jun-2006","Togo","1",1487,85,"2010-77","Friendly"
"2-Jun-2006","Sweden","1",1855,12,"2010-78","Friendly"
"2-Jun-2006","Chile","1",1708,36,"2010-78","Friendly"
"2-Jun-2006","Tunisia","0",1706,42,"2010-79","Friendly tournament"
"2-Jun-2006","Uruguay","0",1838,15,"2010-79","Friendly tournament"
"2-Jun-2006","Turkey","3",1827,18,"2010-80","Friendly"
"2-Jun-2006","Angola","2",1565,66,"2010-80","Friendly"
"3-Jun-2006","Czechia","3",1970,4,"2010-81","Friendly"
"3-Jun-2006","Trinidad and Tobago","0",1566,66,"2010-81","Friendly"
"3-Jun-2006","England","6",1970,2,"2010-82","Friendly"
"3-Jun-2006","Jamaica","0",1628,51,"2010-82","Friendly"
"3-Jun-2006","Poland","1",1811,19,"2010-83","Friendly"
"3-Jun-2006","Croatia","0",1834,13,"2010-83","Friendly"
"3-Jun-2006","Portugal","3",1915,9,"2010-84","Friendly"
"3-Jun-2006","Luxembourg","0",979,188,"2010-84","Friendly"
"3-Jun-2006","Spain","2",1953,6,"2010-85","Friendly"
"3-Jun-2006","Egypt","0",1743,35,"2010-85","Friendly"
"3-Jun-2006","Switzerland","4",1792,23,"2010-86","Friendly"
"3-Jun-2006","China","1",1598,56,"2010-86","Friendly"
"4-Jun-2006","Brazil","4",2032,1,"2010-87","Friendly"
"4-Jun-2006","New Zealand","0",1518,74,"2010-87","Friendly"
"4-Jun-2006","Ghana","3",1597,50,"2010-88","Friendly"
"4-Jun-2006","South Korea","1",1710,34,"2010-88","Friendly"
"4-Jun-2006","Ivory Coast","3",1757,32,"2010-89","Friendly"
"4-Jun-2006","Slovenia","0",1589,55,"2010-89","Friendly"
"4-Jun-2006","Japan","1",1788,26,"2010-90","Friendly"
"4-Jun-2006","Malta","0",1252,140,"2010-90","Friendly"
"4-Jun-2006","Netherlands","1",1988,2,"2010-91","Friendly"
"4-Jun-2006","Australia","1",1794,21,"2010-91","Friendly"
"5-Jun-2006","Ukraine","3",1784,24,"2010-92","Friendly"
"5-Jun-2006","Libya","0",1458,93,"2010-92","Friendly"
"5-Jun-2006","United States","1",1834,15,"2010-93","Friendly"
"5-Jun-2006","Angola","0",1561,66,"2010-93","Friendly"
"7-Jun-2006","Australia","3",1801,23,"2010-94","Friendly"
"7-Jun-2006","Liechtenstein","1",1118,170,"2010-94","Friendly"
"7-Jun-2006","France","3",1971,1,"2010-95","Friendly"
"7-Jun-2006","China","1",1600,58,"2010-95","Friendly"
"7-Jun-2006","Spain","2",1957,6,"2010-96","Friendly"
"7-Jun-2006","Croatia","1",1831,13,"2010-96","Friendly"
"8-Jun-2006","Luxembourg","0",977,188,"2010-97","Friendly"
"8-Jun-2006","Ukraine","3",1789,26,"2010-97","Friendly"
"9-Jun-2006","Ecuador","2",1699,21,"2010-98","World Cup"
"9-Jun-2006","Poland","0",1702,19,"2010-98","World Cup"
"9-Jun-2006","Germany","4",1897,10,"2010-99","World Cup"
"9-Jun-2006","Costa Rica","2",1694,38,"2010-99","World Cup"
"10-Jun-2006","Argentina","2",1922,8,"2010-100","World Cup"
"10-Jun-2006","Ivory Coast","1",1732,31,"2010-100","World Cup"
"10-Jun-2006","England","1",1973,3,"2010-101","World Cup"
