"date","team","goals","elo","rank","match_id","stage"
"30-May-2014","Northern Ireland","0",1411,110,"2014-48","Friendly"
"31-May-2014","Algeria","3",1600,50,"2014-49","Friendly"
"31-May-2014","Armenia","1",1560,63,"2014-49","Friendly"
"31-May-2014","Colombia","2",1910,8,"2014-50","Friendly"
"31-May-2014","Senegal","2",1577,62,"2014-50","Friendly"
"31-May-2014","Croatia","2",1810,22,"2014-51","Friendly"
"31-May-2014","Mali","1",1544,70,"2014-51","Friendly"
"31-May-2014","Ireland","0",1689,40,"2014-52","Friendly"
"31-May-2014","Italy","0",1892,11,"2014-52","Friendly"
"31-May-2014","Mexico","3",1817,17,"2014-53","Friendly"
"31-May-2014","Ecuador","1",1818,14,"2014-53","Friendly"
"31-May-2014","Netherlands","1",1982,5,"2014-54","Friendly"
"31-May-2014","Ghana","0",1689,41,"2014-54","Friendly"
"31-May-2014","Norway","1",1616,54,"2014-55","Friendly"
"31-May-2014","Russia","1",1843,13,"2014-55","Friendly"
"31-May-2014","Portugal","0",1922,7,"2014-56","Friendly"
"31-May-2014","Greece","0",1816,20,"2014-56","Friendly"
"1-Jun-2014","France","1",1887,11,"2014-57","Friendly"
"1-Jun-2014","Paraguay","1",1703,32,"2014-57","Friendly"
"1-Jun-2014","Germany","2",2063,3,"2014-58","Friendly"
"1-Jun-2014","Cameroon","2",1604,58,"2014-58","Friendly"
"1-Jun-2014","Israel","4",1615,51,"2014-59","Friendly"
"1-Jun-2014","Honduras","2",1645,44,"2014-59","Friendly"
"1-Jun-2014","Sweden","0",1777,21,"2014-60","Friendly"
"1-Jun-2014","Belgium","2",1833,10,"2014-60","Friendly"
"1-Jun-2014","United States","2",1849,12,"2014-61","Friendly"
"1-Jun-2014","Turkey","1",1747,27,"2014-61","Friendly"
"2-Jun-2014","Japan","3",1770,21,"2014-62","Friendly"
"2-Jun-2014","Costa Rica","1",1699,31,"2014-62","Friendly"
"3-Jun-2014","Bosnia and Herzegovina","1",1775,22,"2014-63","Friendly"
"3-Jun-2014","Mexico","0",1809,19,"2014-63","Friendly"
"3-Jun-2014","Brazil","4",2135,1,"2014-64","Friendly"
"3-Jun-2014","Panama","0",1699,37,"2014-64","Friendly"
"3-Jun-2014","Greece","0",1816,20,"2014-65","Friendly"
"3-Jun-2014","Nigeria","0",1725,31,"2014-65","Friendly"
"3-Jun-2014","Switzerland","2",1850,11,"2014-66","Friendly"
"3-Jun-2014","Peru","0",1694,38,"2014-66","Friendly"
"4-Jun-2014","Algeria","2",1615,52,"2014-67","Friendly"
"4-Jun-2014","Romania","1",1703,30,"2014-67","Friendly"
"4-Jun-2014","Argentina","3",2016,4,"2014-68","Friendly"
"4-Jun-2014","Trinidad and Tobago","0",1505,83,"2014-68","Friendly"
"4-Jun-2014","Chile","2",1919,8,"2014-69","Friendly"
"4-Jun-2014","Northern Ireland","0",1410,110,"2014-69","Friendly"
"4-Jun-2014","Ecuador","2",1834,18,"2014-70","Friendly"
"4-Jun-2014","England","2",1936,6,"2014-70","Friendly"
"4-Jun-2014","Italy","1",1878,11,"2014-71","Friendly"
"4-Jun-2014","Luxembourg","1",1212,152,"2014-71","Friendly"
"4-Jun-2014","Ivory Coast","2",1772,25,"2014-72","Friendly"
"4-Jun-2014","El Salvador","1",1516,77,"2014-72","Friendly"
"4-Jun-2014","Netherlands","2",1984,5,"2014-73","Friendly"
"4-Jun-2014","Wales","0",1591,61,"2014-73","Friendly"
"4-Jun-2014","Uruguay","2",1916,8,"2014-74","Friendly"
"4-Jun-2014","Slovenia","0",1641,49,"2014-74","Friendly"
"6-Jun-2014","Brazil","1",2137,1,"2014-75","Friendly"
"6-Jun-2014","Serbia","0",1766,26,"2014-75","Friendly"
"6-Jun-2014","Colombia","3",1918,6,"2014-76","Friendly"
"6-Jun-2014","Jordan","0",1577,64,"2014-76","Friendly"
"6-Jun-2014","Costa Rica","1",1712,31,"2014-77","Friendly"
"6-Jun-2014","Ireland","1",1695,41,"2014-77","Friendly"
"6-Jun-2014","Croatia","1",1812,19,"2014-78","Friendly"
"6-Jun-2014","Australia","0",1702,31,"2014-78","Friendly"
"6-Jun-2014","Germany","6",2072,3,"2014-79","Friendly"
"6-Jun-2014","Armenia","1",1573,66,"2014-79","Friendly"
"6-Jun-2014","Greece","2",1819,18,"2014-80","Friendly"
"6-Jun-2014","Bolivia","1",1616,55,"2014-80","Friendly"
"6-Jun-2014","Japan","4",1783,24,"2014-81","Friendly"
"6-Jun-2014","Zambia","3",1481,90,"2014-81","Friendly"
"6-Jun-2014","Portugal","1",1928,7,"2014-82","Friendly"
"6-Jun-2014","Mexico","0",1807,19,"2014-82","Friendly"
"6-Jun-2014","Russia","2",1847,16,"2014-83","Friendly"
"6-Jun-2014","Morocco","0",1516,78,"2014-83","Friendly"
