"date","team","goals","elo","rank","match_id","stage"
"1-Mar-2006","Croatia","3",1834,13,"2006-1","Friendly"
"1-Mar-2006","Argentina","2",1905,8,"2006-1","Friendly"
"1-Mar-2006","England","2",1964,1,"2006-2","Friendly"
"1-Mar-2006","Uruguay","1",1813,20,"2006-2","Friendly"
"1-Mar-2006","France","1",1940,3,"2006-3","Friendly"
"1-Mar-2006","Slovakia","2",1681,41,"2006-3","Friendly"
"1-Mar-2006","Iran","3",1797,23,"2006-4","Friendly"
"1-Mar-2006","Costa Rica","2",1732,35,"2006-4","Friendly"
"1-Mar-2006","Ireland","3",1824,15,"2006-5","Friendly"
"1-Mar-2006","Sweden","0",1859,11,"2006-5","Friendly"
"1-Mar-2006","Italy","4",1940,7,"2006-6","Friendly"
"1-Mar-2006","Germany","1",1871,10,"2006-6","Friendly"
"1-Mar-2006","Mexico","1",1830,18,"2006-7","Friendly"
"1-Mar-2006","Ghana","0",1565,67,"2006-7","Friendly"
"1-Mar-2006","Netherlands","1",1993,2,"2006-8","Friendly"
"1-Mar-2006","Ecuador","0",1717,40,"2006-8","Friendly"
"1-Mar-2006","Portugal","3",1909,9,"2006-9","Friendly"
"1-Mar-2006","Saudi Arabia","0",1595,57,"2006-9","Friendly"
"1-Mar-2006","Russia","0",1741,33,"2006-10","Friendly"
"1-Mar-2006","Brazil","1",2027,1,"2006-10","Friendly"
"1-Mar-2006","Scotland","1",1652,44,"2006-11","Friendly"
"1-Mar-2006","Switzerland","3",1779,22,"2006-11","Friendly"
"1-Mar-2006","South Korea","1",1745,32,"2006-12","Friendly"
"1-Mar-2006","Angola","0",1550,69,"2006-12","Friendly"
"1-Mar-2006","Spain","3",1957,4,"2006-13","Friendly"
"1-Mar-2006","Ivory Coast","2",1751,32,"2006-13","Friendly"
"1-Mar-2006","Tunisia","0",1684,42,"2006-14","Friendly"
"1-Mar-2006","Serbia and Montenegro","1",1791,24,"2006-14","Friendly"
"1-Mar-2006","Turkey","2",1845,16,"2006-15","Friendly"
"1-Mar-2006","Czechia","2",1964,4,"2006-15","Friendly"
"1-Mar-2006","United States","1",1855,13,"2006-16","Friendly"
"1-Mar-2006","Poland","0",1827,15,"2006-16","Friendly"
"1-Mar-2006","Wales","0",1593,60,"2006-17","Friendly"
"1-Mar-2006","Paraguay","0",1774,29,"2006-17","Friendly"
"15-Mar-2006","Saudi Arabia","2",1592,59,"2006-18","Friendly"
"15-Mar-2006","Iraq","2",1571,66,"2006-18","Friendly"
"22-Mar-2006","Germany","4",1882,11,"2006-19","Friendly"
"22-Mar-2006","United States","1",1841,13,"2006-19","Friendly"
"28-Mar-2006","Saudi Arabia","1",1584,60,"2006-20","Friendly"
"28-Mar-2006","Poland","2",1837,16,"2006-20","Friendly"
"29-Mar-2006","Mexico","2",1834,17,"2006-21","Friendly"
"29-Mar-2006","Paraguay","1",1760,29,"2006-21","Friendly"
"30-Mar-2006","Japan","1",1807,20,"2006-22","Friendly"
"30-Mar-2006","Ecuador","0",1709,40,"2006-22","Friendly"
"11-Apr-2006","United States","1",1839,14,"2006-23","Friendly"
"11-Apr-2006","Jamaica","1",1649,49,"2006-23","Friendly"
"29-Apr-2006","Angola","5",1553,63,"2006-24","COSAFA Cup"
"29-Apr-2006","Mauritius","1",1299,120,"2006-24","COSAFA Cup"
"30-Apr-2006","Lesotho","1",1131,166,"2006-25","COSAFA Cup"
"30-Apr-2006","Angola","3",1569,65,"2006-25","COSAFA Cup"
"2-May-2006","Poland","0",1805,16,"2006-26","Friendly"
"2-May-2006","Lithuania","1",1478,76,"2006-26","Friendly"
"5-May-2006","Mexico","1",1842,14,"2006-27","Friendly"
"5-May-2006","Venezuela","0",1597,56,"2006-27","Friendly"
"9-May-2006","Japan","1",1768,21,"2006-28","Friendly tournament"
"9-May-2006","Bulgaria","2",1725,31,"2006-28","Friendly tournament"
"10-May-2006","Trinidad and Tobago","1",1589,62,"2006-29","Friendly"
"10-May-2006","Peru","1",1662,46,"2006-29","Friendly"
"11-May-2006","Belgium","2",1701,42,"2006-30","Friendly"
"11-May-2006","Saudi Arabia","1",1576,62,"2006-30","Friendly"
"12-May-2006","Mexico","2",1846,13,"2006-31","Friendly"
"12-May-2006","Democratic Republic of Congo","1",1487,88,"2006-31","Friendly"
"13-May-2006","Japan","0",1776,25,"2006-32","Friendly tournament"
"13-May-2006","Scotland","0",1701,41,"2006-32","Friendly tournament"
"14-May-2006","Poland","4",1824,19,"2006-33","Friendly"
"14-May-2006","Faroe Islands","0",1211,154,"2006-33","Friendly"
"14-May-2006","Saudi Arabia","1",1583,60,"2006-34","Friendly"
"14-May-2006","Togo","0",1479,85,"2006-34","Friendly"
"23-May-2006","Austria","1",1619,51,"2006-35","Friendly"
"23-May-2006","Croatia","4",1847,12,"2006-35","Friendly"
"23-May-2006","South Korea","1",1738,34,"2006-36","Friendly"
"23-May-2006","Senegal","1",1663,47,"2006-36","Friendly"
"23-May-2006","United States","0",1812,16,"2006-37","Friendly"
"23-May-2006","Morocco","1",1648,46,"2006-37","Friendly"
"24-May-2006","Colombia","1",1759,31,"2006-38","Friendly"
"24-May-2006","Ecuador","1",1714,39,"2006-38","Friendly"
"24-May-2006","Norway","2",1734,36,"2006-39","Friendly"
"24-May-2006","Paraguay","2",1768,29,"2006-39","Friendly"
"25-May-2006","Australia","1",1786,22,"2006-40","Friendly"
"25-May-2006","Greece","0",1796,21,"2006-40","Friendly"
"25-May-2006","Sweden","0",1859,12,"2006-41","Friendly"
"25-May-2006","Finland","0",1628,49,"2006-41","Friendly"
"26-May-2006","Czechia","2",1965,2,"2006-42","Friendly"
"26-May-2006","Saudi Arabia","0",1585,62,"2006-42","Friendly"
"26-May-2006","Ghana","1",1569,66,"2006-43","Friendly"
