"date","team","goals","elo","rank","match_id","stage"
"9-May-1998","Trinidad and Tobago",1,1475,79,"1998-47","Friendly"
"13-May-1998","Iceland",1,1469,78,"1998-48","Friendly"
"13-May-1998","Saudi Arabia",1,1632,50,"1998-48","Friendly"
"14-May-1998","Argentina",5,1876,11,"1998-49","Friendly"
"14-May-1998","Bosnia and Herzegovina",0,1619,53,"1998-49","Friendly"
"16-May-1998","South Korea",2,1773,21,"1998-50","Friendly"
"16-May-1998","Jamaica",1,1639,49,"1998-50","Friendly"
"16-May-1998","United States",0,1749,26,"1998-51","Friendly"
"16-May-1998","Macedonia",0,1555,59,"1998-51","Friendly"
"17-May-1998","Japan",1,1742,30,"1998-52","Friendly tournament"
"17-May-1998","Paraguay",1,1760,26,"1998-52","Friendly tournament"
"17-May-1998","Saudi Arabia",2,1637,49,"1998-53","Friendly"
"17-May-1998","Namibia",1,1329,123,"1998-53","Friendly"
"19-May-1998","Argentina",1,1881,10,"1998-54","Friendly"
"19-May-1998","Chile",0,1772,22,"1998-54","Friendly"
"19-May-1998","Cameroon",2,1560,61,"1998-55","Friendly"
"19-May-1998","Burkina Faso",0,1390,104,"1998-55","Friendly"
"19-May-1998","South Korea",0,1765,23,"1998-56","Friendly"
"19-May-1998","Jamaica",0,1643,49,"1998-56","Friendly"
"20-May-1998","Norway",5,1888,10,"1998-57","Friendly"
"20-May-1998","Mexico",2,1834,17,"1998-57","Friendly"
"20-May-1998","South Africa",1,1648,46,"1998-58","Friendly"
"20-May-1998","Zambia",1,1623,52,"1998-58","Friendly"
"21-May-1998","Czechia",1,1881,9,"1998-59","Friendly tournament"
"21-May-1998","Paraguay",0,1744,26,"1998-59","Friendly tournament"
"23-May-1998","Colombia",2,1774,24,"1998-60","Friendly"
"23-May-1998","Scotland",2,1775,23,"1998-60","Friendly"
"23-May-1998","England",0,1962,6,"1998-61","Friendly"
"23-May-1998","Saudi Arabia",0,1640,48,"1998-61","Friendly"
"23-May-1998","Ireland",0,1697,38,"1998-62","Friendly"
"23-May-1998","Mexico",0,1843,17,"1998-62","Friendly"
"24-May-1998","Chile",2,1771,22,"1998-63","Friendly"
"24-May-1998","Uruguay",2,1755,26,"1998-63","Friendly"
"24-May-1998","Japan",0,1746,30,"1998-64","Friendly tournament"
"24-May-1998","Czechia",0,1887,11,"1998-64","Friendly tournament"
"24-May-1998","United States",2,1756,26,"1998-65","Friendly"
"24-May-1998","Kuwait",0,1609,55,"1998-65","Friendly"
"25-May-1998","Argentina",2,1886,10,"1998-66","Friendly"
"25-May-1998","South Africa",0,1644,46,"1998-66","Friendly"
"27-May-1998","Austria",2,1711,34,"1998-67","Friendly"
"27-May-1998","Tunisia",1,1628,51,"1998-67","Friendly"
"27-May-1998","Finland",0,1533,66,"1998-68","Friendly"
"27-May-1998","Germany",0,2049,2,"1998-68","Friendly"
"27-May-1998","France",1,2001,4,"1998-69","Friendly tournament"
"27-May-1998","Belgium",0,1792,20,"1998-69","Friendly tournament"
"27-May-1998","Morocco",0,1712,31,"1998-70","Friendly tournament"
"27-May-1998","England",1,1971,6,"1998-70","Friendly tournament"
"27-May-1998","Netherlands",0,1941,8,"1998-71","Friendly"
"27-May-1998","Cameroon",0,1566,62,"1998-71","Friendly"
"27-May-1998","Norway",6,1899,10,"1998-72","Friendly"
"27-May-1998","Saudi Arabia",0,1639,48,"1998-72","Friendly"
"27-May-1998","South Korea",2,1771,25,"1998-73","Friendly"
"27-May-1998","Czechia",2,1887,12,"1998-73","Friendly"
"28-May-1998","Sweden",3,1810,17,"1998-74","Friendly"
"28-May-1998","Denmark",0,1880,9,"1998-74","Friendly"
"29-May-1998","Belgium",0,1799,19,"1998-75","Friendly tournament"
"29-May-1998","England",0,1966,6,"1998-75","Friendly tournament"
"29-May-1998","Croatia",1,1837,15,"1998-76","Friendly"
"29-May-1998","Slovakia",2,1719,29,"1998-76","Friendly"
"29-May-1998","Morocco",2,1721,32,"1998-77","Friendly tournament"
"29-May-1998","France",2,1994,4,"1998-77","Friendly tournament"
"29-May-1998","Yugoslavia",3,1967,7,"1998-78","Friendly"
"29-May-1998","Nigeria",0,1708,35,"1998-78","Friendly"
"30-May-1998","Germany",3,2057,2,"1998-79","Friendly"
"30-May-1998","Colombia",1,1768,23,"1998-79","Friendly"
"30-May-1998","United States",0,1758,26,"1998-80","Friendly"
"30-May-1998","Scotland",0,1775,22,"1998-80","Friendly"
"31-May-1998","Chile",3,1774,21,"1998-81","Friendly"
"31-May-1998","Tunisia",2,1621,52,"1998-81","Friendly"
"31-May-1998","Luxembourg",0,1197,154,"1998-82","Friendly"
"31-May-1998","Cameroon",2,1575,60,"1998-82","Friendly"
"31-May-1998","Mexico",2,1844,17,"1998-83","Friendly"
"31-May-1998","Japan",1,1734,30,"1998-83","Friendly"
"1-Jun-1998","Netherlands",5,1950,8,"1998-84","Friendly"
